filepaths,family,genus,species,serialnumber,clusterID
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Pristilepis_Pristilepis oligolepis_-1157181874.jpg,Holocentridae,Pristilepis,oligolepis_-1157181874.jpg,Pristilepis oligolepis,4.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis hexagona_422997612.jpg,Holocentridae,Myripristis,hexagona_422997612.jpg,Myripristis hexagona,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron ittodai_-1149989668.jpg,Holocentridae,Sargocentron,ittodai_-1149989668.jpg,Sargocentron ittodai,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis amaena_-1184820467.jpg,Holocentridae,Myripristis,amaena_-1184820467.jpg,Myripristis amaena,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis amaena_258869066.jpg,Holocentridae,Myripristis,amaena_258869066.jpg,Myripristis amaena,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis kuntee_-1464888615.jpg,Holocentridae,Myripristis,kuntee_-1464888615.jpg,Myripristis kuntee,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron microstoma_1680189254.jpg,Holocentridae,Sargocentron,microstoma_1680189254.jpg,Sargocentron microstoma,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis hexagona_-1096471942.jpg,Holocentridae,Myripristis,hexagona_-1096471942.jpg,Myripristis hexagona,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron violaceum_-372935686.jpg,Holocentridae,Sargocentron,violaceum_-372935686.jpg,Sargocentron violaceum,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron ensifer_1136334699.jpg,Holocentridae,Sargocentron,ensifer_1136334699.jpg,Sargocentron ensifer,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Neoniphon_Neoniphon argenteus_-1921272186.jpg,Holocentridae,Neoniphon,argenteus_-1921272186.jpg,Neoniphon argenteus,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis hexagona_1747082743.jpg,Holocentridae,Myripristis,hexagona_1747082743.jpg,Myripristis hexagona,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Ostichthys_Ostichthys archiepiscopus_-1644285235.jpg,Holocentridae,Ostichthys,archiepiscopus_-1644285235.jpg,Ostichthys archiepiscopus,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron ittodai_-444010277.jpg,Holocentridae,Sargocentron,ittodai_-444010277.jpg,Sargocentron ittodai,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron ittodai_-1858660224.jpg,Holocentridae,Sargocentron,ittodai_-1858660224.jpg,Sargocentron ittodai,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron melanospilos_113417235.jpg,Holocentridae,Sargocentron,melanospilos_113417235.jpg,Sargocentron melanospilos,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis murdjan_465621969.jpg,Holocentridae,Myripristis,murdjan_465621969.jpg,Myripristis murdjan,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron xantherythrum_1902091311.jpg,Holocentridae,Sargocentron,xantherythrum_1902091311.jpg,Sargocentron xantherythrum,5.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Neoniphon_Neoniphon aurolineatus_-1745332651.jpg,Holocentridae,Neoniphon,aurolineatus_-1745332651.jpg,Neoniphon aurolineatus,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Ostichthys_Ostichthys hypsipterygion_-1718412278.jpg,Holocentridae,Ostichthys,hypsipterygion_-1718412278.jpg,Ostichthys hypsipterygion,0.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis pralinia_-510104851.jpg,Holocentridae,Myripristis,pralinia_-510104851.jpg,Myripristis pralinia,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron tiere_-598731329.jpg,Holocentridae,Sargocentron,tiere_-598731329.jpg,Sargocentron tiere,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis xanthacra_-1784225607.jpg,Holocentridae,Myripristis,xanthacra_-1784225607.jpg,Myripristis xanthacra,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron caudimaculatum_2133852349.jpg,Holocentridae,Sargocentron,caudimaculatum_2133852349.jpg,Sargocentron caudimaculatum,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron macrosquamis_-88313699.jpg,Holocentridae,Sargocentron,macrosquamis_-88313699.jpg,Sargocentron macrosquamis,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron lepros_1150991511.jpg,Holocentridae,Sargocentron,lepros_1150991511.jpg,Sargocentron lepros,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis vittata_-1298359615.jpg,Holocentridae,Myripristis,vittata_-1298359615.jpg,Myripristis vittata,10.0
